TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
DEN,DEN vs. PHX,2024-03-27,L,36,73,28,68,0.4117647058823529,9,34,0.2647058823529412,8,8,1.0,6,21,27,21,5,7,2,10,-10,1
CLE,CLE @ CHA,2024-03-27,L,36,96,36,67,0.5373134328358209,17,33,0.5151515151515151,7,11,0.6363636363636364,6,19,25,29,11,6,1,14,-4,0
CHI,CHI vs. IND,2024-03-27,W,36,87,33,75,0.44,10,24,0.4166666666666667,11,13,0.8461538461538461,12,30,42,20,5,6,4,15,13,1
CHA,CHA vs. CLE,2024-03-27,W,36,100,37,63,0.5873015873015873,12,28,0.42857142857142855,14,16,0.875,6,21,27,24,11,7,2,10,4,1
BKN,BKN @ WAS,2024-03-27,W,36,92,35,69,0.5072463768115942,8,23,0.34782608695652173,14,17,0.8235294117647058,7,22,29,19,7,4,5,12,1,0
ATL,ATL vs. POR,2024-03-27,W,36,100,36,64,0.5625,14,29,0.4827586206896552,14,17,0.8235294117647058,5,26,31,19,15,11,5,12,14,1
SAC,SAC vs. DAL,2024-03-26,L,36,76,28,68,0.4117647058823529,8,20,0.4,12,14,0.8571428571428571,8,25,33,22,11,5,4,11,-20,1
OKC,OKC @ NOP,2024-03-26,W,36,96,38,66,0.5757575757575758,11,25,0.44,9,10,0.9,3,31,34,22,9,4,3,14,6,0
NOP,NOP vs. OKC,2024-03-26,L,36,90,31,66,0.4696969696969697,13,32,0.40625,15,18,0.8333333333333334,3,24,27,22,8,6,1,13,-6,1
MIL,MIL vs. LAL,2024-03-26,L,36,88,35,68,0.5147058823529411,10,29,0.3448275862068966,8,12,0.6666666666666666,4,32,36,25,7,5,4,13,14,1
MIA,MIA vs. GSW,2024-03-26,L,36,75,31,70,0.44285714285714284,8,25,0.32,5,6,0.8333333333333334,6,21,27,23,7,1,2,6,-10,1
LAL,LAL @ MIL,2024-03-26,W,36,74,26,70,0.37142857142857144,7,23,0.30434782608695654,15,17,0.8823529411764706,10,30,40,18,10,3,4,8,-14,0
GSW,GSW @ MIA,2024-03-26,W,36,85,36,65,0.5538461538461539,9,29,0.3103448275862069,4,8,0.5,5,27,32,23,10,5,5,13,10,0
DAL,DAL @ SAC,2024-03-26,W,36,96,37,67,0.5522388059701493,16,27,0.5925925925925926,6,11,0.5454545454545454,3,30,33,24,8,8,3,14,20,0
WAS,WAS @ CHI,2024-03-25,W,36,82,30,68,0.4411764705882353,12,35,0.34285714285714286,10,11,0.9090909090909091,8,30,38,25,11,6,1,12,0,0
UTA,UTA vs. DAL,2024-03-25,L,36,88,30,69,0.43478260869565216,11,32,0.34375,17,21,0.8095238095238095,9,27,36,23,7,6,0,12,0,1
TOR,TOR vs. BKN,2024-03-25,L,36,69,30,67,0.44776119402985076,5,23,0.21739130434782608,4,5,0.8,6,20,26,21,7,8,2,10,1,1
SAS,SAS vs. PHX,2024-03-25,W,36,75,31,74,0.4189189189189189,6,23,0.2608695652173913,7,7,1.0,3,26,29,17,4,8,1,11,1,1
SAC,SAC vs. PHI,2024-03-25,W,36,83,29,66,0.4393939393939394,8,32,0.25,17,22,0.7727272727272727,10,21,31,20,6,5,5,13,15,1
POR,POR @ HOU,2024-03-25,L,36,71,29,67,0.43283582089552236,7,24,0.2916666666666667,6,7,0.8571428571428571,9,25,34,11,15,3,5,19,-9,0
PHX,PHX @ SAS,2024-03-25,L,36,74,31,61,0.5081967213114754,6,17,0.35294117647058826,6,12,0.5,4,35,39,21,12,3,6,6,-1,0
PHI,PHI @ SAC,2024-03-25,L,36,68,24,61,0.39344262295081966,9,26,0.34615384615384615,11,12,0.9166666666666666,12,23,35,12,14,2,2,20,-15,0
NYK,NYK vs. DET,2024-03-25,W,36,95,36,70,0.5142857142857142,16,35,0.45714285714285713,7,10,0.7,8,31,39,24,10,5,5,12,29,1
MEM,MEM @ DEN,2024-03-25,L,36,76,28,68,0.4117647058823529,8,34,0.23529411764705882,12,14,0.8571428571428571,11,14,25,19,14,7,7,11,-23,0
LAC,LAC vs. IND,2024-03-25,L,36,89,36,64,0.5625,5,13,0.38461538461538464,12,15,0.8,10,19,29,19,9,4,3,17,-8,1
IND,IND @ LAC,2024-03-25,W,36,97,35,64,0.546875,13,21,0.6190476190476191,14,19,0.7368421052631579,6,18,24,17,7,6,1,17,8,0
