TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
PHI,PHI vs. CHA,2024-03-16,W,12,30,9,19,47.4,2,7,28.6,10,10,100.0,2,8,10,3,3,2,0,8,3,1
OKC,OKC @ MEM,2024-03-16,W,12,27,10,22,45.5,2,9,22.2,5,8,62.5,2,9,11,6,3,2,2,5,-7,0
NYK,NYK @ SAC,2024-03-16,W,12,23,8,21,38.1,2,10,20.0,5,6,83.3,2,14,16,5,5,0,3,5,6,0
NOP,NOP vs. POR,2024-03-16,W,12,24,10,24,41.7,4,7,57.1,0,0,0.0,3,8,11,8,3,3,1,5,9,1
MIN,MIN @ UTA,2024-03-16,W,12,37,14,23,60.9,8,14,57.1,1,1,100.0,2,6,8,11,2,1,3,7,9,0
MEM,MEM vs. OKC,2024-03-16,L,12,34,11,21,52.4,5,13,38.5,7,7,100.0,0,9,9,10,3,0,2,6,7,1
LAL,LAL vs. GSW,2024-03-16,L,12,28,11,22,50.0,2,7,28.6,4,5,80.0,4,5,9,6,3,1,0,2,2,1
IND,IND vs. BKN,2024-03-16,W,12,35,15,24,62.5,2,4,50.0,3,3,100.0,3,8,11,6,3,4,2,3,13,1
HOU,HOU vs. CLE,2024-03-16,W,12,19,8,25,32.0,1,11,9.1,2,3,66.7,1,7,8,3,2,4,1,4,-11,1
GSW,GSW @ LAL,2024-03-16,W,12,26,12,19,63.2,1,5,20.0,1,4,25.0,2,6,8,9,2,1,0,5,-2,0
CLE,CLE @ HOU,2024-03-16,L,12,30,11,20,55.0,4,12,33.3,4,4,100.0,1,15,16,7,5,1,2,2,11,0
CHI,CHI vs. WAS,2024-03-16,W,12,32,12,21,57.1,1,4,25.0,7,9,77.8,3,10,13,8,5,1,1,3,3,1
CHA,CHA @ PHI,2024-03-16,L,12,27,9,20,45.0,1,6,16.7,8,9,88.9,4,5,9,3,3,1,2,7,-3,0
BKN,BKN @ IND,2024-03-16,L,12,22,9,19,47.4,2,5,40.0,2,2,100.0,2,4,6,2,6,1,0,4,-13,0
UTA,UTA vs. ATL,2024-03-15,W,12,26,10,20,50.0,3,8,37.5,3,3,100.0,0,9,9,5,4,3,0,4,0,1
TOR,TOR vs. ORL,2024-03-15,L,12,30,12,22,54.5,4,8,50.0,2,4,50.0,6,8,14,7,5,1,0,5,1,1
SAS,SAS vs. DEN,2024-03-15,L,12,27,8,20,40.0,1,5,20.0,10,13,76.9,5,6,11,3,4,1,0,3,-4,1
PHX,PHX @ CHA,2024-03-15,W,12,15,5,20,25.0,1,9,11.1,4,5,80.0,3,10,13,4,4,0,3,6,-14,0
ORL,ORL @ TOR,2024-03-15,W,12,29,11,21,52.4,4,6,66.7,3,3,100.0,2,3,5,8,3,2,2,2,-1,0
NOP,NOP vs. LAC,2024-03-15,W,12,30,12,22,54.5,5,10,50.0,1,2,50.0,2,9,11,10,2,3,0,4,6,1
MIA,MIA @ DET,2024-03-15,W,12,24,11,23,47.8,1,9,11.1,1,1,100.0,2,8,10,8,0,1,1,4,1,0
LAC,LAC @ NOP,2024-03-15,L,12,24,9,20,45.0,3,9,33.3,3,3,100.0,2,6,8,5,3,1,2,3,-6,0
DET,DET vs. MIA,2024-03-15,L,12,23,9,20,45.0,3,10,30.0,2,2,100.0,3,10,13,6,3,0,1,2,-1,1
DEN,DEN @ SAS,2024-03-15,W,12,31,13,23,56.5,3,6,50.0,2,2,100.0,2,7,9,9,4,4,2,7,4,0
CHA,CHA vs. PHX,2024-03-15,L,12,29,10,26,38.5,2,8,25.0,7,8,87.5,4,12,16,2,0,1,1,5,14,1
ATL,ATL @ UTA,2024-03-15,L,12,26,9,22,40.9,4,9,44.4,4,4,100.0,2,8,10,5,4,2,0,3,0,0
WAS,WAS @ HOU,2024-03-14,L,12,24,9,26,34.6,2,12,16.7,4,5,80.0,4,10,14,5,3,2,2,5,-1,0
POR,POR vs. NYK,2024-03-14,L,12,25,10,20,50.0,2,6,33.3,3,3,100.0,3,8,11,4,5,3,0,4,5,1
PHX,PHX @ BOS,2024-03-14,L,12,27,12,24,50.0,1,7,14.3,2,2,100.0,4,8,12,6,2,1,0,1,2,0
PHI,PHI @ MIL,2024-03-14,L,12,22,8,20,40.0,2,7,28.6,4,5,80.0,2,4,6,4,2,1,1,7,-12,0
OKC,OKC vs. DAL,2024-03-14,W,12,31,11,21,52.4,3,9,33.3,6,6,100.0,1,5,6,5,2,1,1,6,-1,1
NYK,NYK @ POR,2024-03-14,W,12,20,6,19,31.6,1,6,16.7,7,7,100.0,4,7,11,3,5,3,0,4,-5,0
MIL,MIL vs. PHI,2024-03-14,W,12,34,11,16,68.8,2,5,40.0,10,11,90.9,0,10,10,7,2,1,2,3,12,1
