index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season,PTS/Q
89,SAS,SAS @ MEM,2024-04-09,W,36,77,31,69,0.4492753623188406,8,33,0.2424242424242424,7,7,1.0,9,34,43,24,12,5,8,8,16,0,MEM,61,26,79,0.3291139240506329,4,20,0.2,5,6,0.8333333333333334,12,26,38,16,6,8,4,11,72.97532919254658,72.97532919254658,97.30043892339543,105.51511154795104,83.5898935639612,15,2024-04-09,25,25.666666666666668
90,SAC,SAC @ OKC,2024-04-09,L,36,87,29,75,0.3866666666666666,17,44,0.3863636363636363,12,16,0.75,16,28,44,19,12,3,2,14,3,0,OKC,84,31,65,0.4769230769230769,9,28,0.3214285714285714,13,17,0.7647058823529411,5,23,28,16,8,7,5,13,73.74752913752914,73.74752913752914,98.33003885003885,117.9700540715836,113.90212117256348,-7,2024-04-09,25,29.0
91,POR,POR vs. NOP,2024-04-09,L,36,78,32,62,0.5161290322580645,9,25,0.36,5,5,1.0,8,27,35,23,15,2,2,11,-9,1,NOP,87,30,70,0.4285714285714285,11,31,0.3548387096774194,16,17,0.9411764705882352,10,22,32,21,5,9,0,6,70.33621621621622,70.33621621621622,93.78162162162161,110.89592843639046,123.69161248674321,-10,2024-04-09,25,26.0
92,PHX,PHX vs. LAC,2024-04-09,L,36,68,22,68,0.3235294117647059,6,24,0.25,18,22,0.8181818181818182,6,28,34,15,6,10,4,6,-16,1,LAC,84,34,72,0.4722222222222222,11,24,0.4583333333333333,5,5,1.0,8,42,50,25,13,4,3,15,77.30597222222221,77.30597222222221,103.07462962962961,87.96215615079332,108.65913406862704,-13,2024-04-09,25,22.666666666666668
93,PHI,PHI vs. DET,2024-04-09,W,36,90,35,77,0.4545454545454545,8,26,0.3076923076923077,12,15,0.8,14,25,39,21,6,9,5,14,12,1,DET,78,25,61,0.4098360655737705,10,22,0.4545454545454545,18,22,0.8181818181818182,8,26,34,15,13,2,5,13,73.36640909090909,73.36640909090909,97.82187878787877,122.67194362542679,106.31568447536989,18,2024-04-09,25,30.0
94,ORL,ORL @ HOU,2024-04-09,L,36,82,29,64,0.453125,6,20,0.3,18,19,0.9473684210526316,7,21,28,18,11,6,3,10,-15,0,HOU,97,38,66,0.5757575757575758,12,27,0.4444444444444444,9,13,0.6923076923076923,5,24,29,26,9,6,4,17,74.29100496277916,74.29100496277916,99.05467328370554,110.37675428012201,130.5676239655102,-12,2024-04-09,25,27.333333333333332
95,OKC,OKC vs. SAC,2024-04-09,W,36,84,31,65,0.4769230769230769,9,28,0.3214285714285714,13,17,0.7647058823529411,5,23,28,16,8,7,5,13,-3,1,SAC,87,29,75,0.3866666666666666,17,44,0.3863636363636363,12,16,0.75,16,28,44,19,12,3,2,14,73.74752913752914,73.74752913752914,98.33003885003885,113.90212117256348,117.9700540715836,7,2024-04-09,25,28.0
96,NYK,NYK @ CHI,2024-04-09,W,36,101,37,66,0.5606060606060606,14,29,0.4827586206896552,13,14,0.9285714285714286,4,20,24,25,6,3,1,11,6,0,CHI,95,37,68,0.5441176470588235,10,22,0.4545454545454545,11,15,0.7333333333333333,8,21,29,17,4,2,4,11,70.57902857142858,70.57902857142858,94.10537142857143,143.1019979224909,134.60088913501622,11,2024-04-09,25,33.666666666666664
97,NOP,NOP @ POR,2024-04-09,W,36,87,30,70,0.4285714285714285,11,31,0.3548387096774194,16,17,0.9411764705882352,10,22,32,21,5,9,0,6,9,0,POR,78,32,62,0.5161290322580645,9,25,0.36,5,5,1.0,8,27,35,23,15,2,2,11,70.33621621621622,70.33621621621622,93.78162162162161,123.69161248674321,110.89592843639046,10,2024-04-09,25,29.0
98,MIN,MIN vs. WAS,2024-04-09,W,36,99,30,68,0.4411764705882353,14,31,0.4516129032258064,25,30,0.8333333333333334,9,28,37,23,7,8,7,10,5,1,WAS,94,34,70,0.4857142857142857,17,36,0.4722222222222222,9,13,0.6923076923076923,6,25,31,19,10,4,4,20,77.31970588235293,77.31970588235293,103.09294117647057,128.03980417441716,121.57314739793144,9,2024-04-09,25,33.0
